filename,leaf-dim-unit,leaf-height,leaf-width,writtenHeight,writtenWidth,LeafDivWritten
collections\Arch_Selden\MS_Arch_Selden_B_54.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_55.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_56.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_57.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_8.xml,,,,,,
collections\Ashmole\MSS_Ashmole_1457-8.xml,,,,,,
collections\Ashmole\MS_Ashmole_1113.xml,,,,,,
collections\Ashmole\MS_Ashmole_1114.xml,,,,,,
collections\Ashmole\MS_Ashmole_1119.xml,,,,,,
collections\Ashmole\MS_Ashmole_1132.xml,,,,,,
collections\Ashmole\MS_Ashmole_1133.xml,,,,,,
collections\Ashmole\MS_Ashmole_1134.xml,,,,,,
collections\Ashmole\MS_Ashmole_1146.xml,,,,,,
collections\Ashmole\MS_Ashmole_1148.xml,,,,,,
collections\Ashmole\MS_Ashmole_1152.xml,,,,,,
collections\Ashmole\MS_Ashmole_1154.xml,,,,,,
collections\Ashmole\MS_Ashmole_1164.xml,,,,,,
collections\Ashmole\MS_Ashmole_1276.xml,,,,,,
collections\Ashmole\MS_Ashmole_1280.xml,,,,,,
collections\Ashmole\MS_Ashmole_1281.xml,,,,,,
collections\Ashmole\MS_Ashmole_1282.xml,mm,165,110,95,65,1.736842105263158
collections\Ashmole\MS_Ashmole_1285.xml,,,,,,
collections\Ashmole\MS_Ashmole_1286.xml,,,,,,
collections\Ashmole\MS_Ashmole_1288.xml,,,,,,
collections\Ashmole\MS_Ashmole_1289.xml,,,,,,
collections\Ashmole\MS_Ashmole_1290.xml,,,,,,
collections\Ashmole\MS_Ashmole_1291.xml,mm,95,65,55,35,1.7272727272727273
collections\Ashmole\MS_Ashmole_1296.xml,,,,,,
collections\Ashmole\MS_Ashmole_1297.xml,,,,,,
collections\Ashmole\MS_Ashmole_1300.xml,,,,,,
collections\Ashmole\MS_Ashmole_1352.xml,,,,,,
collections\Ashmole\MS_Ashmole_1378.xml,,,,,,
collections\Ashmole\MS_Ashmole_1379.xml,,,,,,
collections\Ashmole\MS_Ashmole_1383.xml,,,,,,
collections\Ashmole\MS_Ashmole_1384.xml,,,,,,
collections\Ashmole\MS_Ashmole_1389.xml,,,,,,
collections\Ashmole\MS_Ashmole_1391.xml,,,,,,
collections\Ashmole\MS_Ashmole_1393.xml,,,,,,
collections\Ashmole\MS_Ashmole_1396.xml,,,,,,
collections\Ashmole\MS_Ashmole_1397.xml,,,,,,
collections\Ashmole\MS_Ashmole_1398.xml,,,,,,
collections\Ashmole\MS_Ashmole_1402.xml,,,,,,
collections\Ashmole\MS_Ashmole_1404.xml,mm,202-204,140-145,135-145,85-92,
collections\Ashmole\MS_Ashmole_1410.xml,,,,,,
collections\Ashmole\MS_Ashmole_1413.xml,,,,,,
collections\Ashmole\MS_Ashmole_1416.xml,,,,,,
collections\Ashmole\MS_Ashmole_1423.xml,,,,,,
collections\Ashmole\MS_Ashmole_1426.xml,,,,,,
collections\Ashmole\MS_Ashmole_1427.xml,,,,,,
collections\Ashmole\MS_Ashmole_1428.xml,,,,,,
collections\Ashmole\MS_Ashmole_1431.xml,mm,235,150,175,110,1.3428571428571427
collections\Ashmole\MS_Ashmole_1432.xml,,,,,,
collections\Ashmole\MS_Ashmole_1434.xml,,,,,,
collections\Ashmole\MS_Ashmole_1435.xml,,,,,,
collections\Ashmole\MS_Ashmole_1437.xml,,,,,,
collections\Ashmole\MS_Ashmole_1438.xml,,,,,,
collections\Ashmole\MS_Ashmole_1439.xml,,,,,,
collections\Ashmole\MS_Ashmole_1441.xml,,,,,,
collections\Ashmole\MS_Ashmole_1443.xml,,,,,,
collections\Ashmole\MS_Ashmole_1444.xml,,,,,,
collections\Ashmole\MS_Ashmole_1447.xml,,,,,,
collections\Ashmole\MS_Ashmole_1448.xml,,,,,,
collections\Ashmole\MS_Ashmole_1450.xml,,,,,,
collections\Ashmole\MS_Ashmole_1451.xml,,,,,,
collections\Ashmole\MS_Ashmole_1454.xml,,,,,,
collections\Ashmole\MS_Ashmole_1462.xml,,,,,,
collections\Ashmole\MS_Ashmole_1467.xml,,,,,,
collections\Ashmole\MS_Ashmole_1468.xml,,,,,,
collections\Ashmole\MS_Ashmole_1470.xml,,,,,,
collections\Ashmole\MS_Ashmole_1471.xml,,,,,,
collections\Ashmole\MS_Ashmole_1474.xml,,,,,,
collections\Ashmole\MS_Ashmole_1475.xml,,,,,,
collections\Ashmole\MS_Ashmole_1477.xml,,,,,,
collections\Ashmole\MS_Ashmole_1478.xml,,,,,,
